No.,Symbol,Market Cap,Company Name,Stock Price
353,STX,19.42B,Seagate Technology Holdings plc,93.07
354,PPL,19.35B,PPL Corporation,26.37
355,TSN,19.24B,"Tyson Foods, Inc.",54.24
356,CTRA,19.20B,Coterra Energy Inc.,25.78
357,K,19.12B,Kellanova Co,55.15
358,CLX,19.05B,The Clorox Company,153.31
359,AEE,19.04B,Ameren Corporation,71.19
360,PFG,19.00B,"Principal Financial Group, Inc.",80.86
361,VLTO,18.96B,Veralto Corporation,86.42
362,COO,18.78B,"The Cooper Companies, Inc.",93.60
363,WDC,18.72B,Western Digital Corporation,59.46
364,IFF,18.69B,International Flavors & Fragrances Inc.,75.50
365,HBAN,18.68B,Huntington Bancshares Incorporated,13.04
366,TYL,18.57B,"Tyler Technologies, Inc.",437.14
367,J,18.49B,Jacobs Engineering Group Inc.,146.55
368,EXPE,18.47B,"Expedia Group, Inc.",136.82
369,WBA,18.26B,"Walgreens Boots Alliance, Inc.",21.23
370,MKC,18.17B,"McCormick & Company, Incorporated",68.86
371,NTAP,18.14B,"NetApp, Inc.",89.12
372,JBL,18.12B,Jabil Inc.,144.09
373,LH,18.06B,Laboratory Corporation of America Holdings,215.83
374,IEX,17.90B,IDEX Corporation,235.90
375,CINF,17.81B,Cincinnati Financial Corporation,114.00
376,FDS,17.75B,FactSet Research Systems Inc.,462.58
377,EPAM,17.67B,"EPAM Systems, Inc.",304.40
378,OMC,17.44B,Omnicom Group Inc.,88.39
379,HOLX,17.40B,"Hologic, Inc.",73.80
380,CNP,17.36B,"CenterPoint Energy, Inc.",27.50
381,AVY,17.24B,Avery Dennison Corporation,216.53
382,LDOS,17.18B,"Leidos Holdings, Inc.",127.86
383,BBY,17.16B,"Best Buy Co., Inc.",80.88
384,VTR,17.10B,"Ventas, Inc.",42.29
385,EXPD,17.09B,"Expeditors International of Washington, Inc.",119.60
386,RF,17.06B,Regions Financial Corporation,18.60
387,ATO,16.96B,Atmos Energy Corporation,112.91
388,TXT,16.89B,Textron Inc.,89.01
389,HRL,16.86B,Hormel Foods Corporation,35.32
390,MAS,16.86B,Masco Corporation,76.76
391,CMS,16.79B,CMS Energy Corporation,57.37
392,SYF,16.73B,Synchrony Financial,41.30
393,NTRS,16.71B,Northern Trust Corporation,82.13
394,L,16.68B,Loews Corporation,75.13
395,FSLR,16.48B,"First Solar, Inc.",153.80
396,AKAM,16.33B,"Akamai Technologies, Inc.",110.92
397,SWKS,16.31B,"Skyworks Solutions, Inc.",104.92
398,CE,16.27B,Celanese Corporation,151.74
399,ENPH,16.17B,"Enphase Energy, Inc.",127.01
400,EQT,16.11B,EQT Corporation,37.15
401,EG,16.07B,"Everest Group, Ltd.",368.88
402,PKG,15.81B,Packaging Corporation of America,181.19
403,DPZ,15.54B,"Domino's Pizza, Inc.",448.35
404,ALB,15.50B,Albemarle Corporation,137.85
405,TER,15.36B,"Teradyne, Inc.",103.53
406,NDSN,15.27B,Nordson Corporation,265.65
407,ESS,15.26B,"Essex Property Trust, Inc.",231.40
408,POOL,15.20B,Pool Corporation,398.12
409,NWSA,15.20B,News Corporation,26.88
410,NWS,15.20B,News Corporation,27.99
411,MAA,15.11B,"Mid-America Apartment Communities, Inc.",125.68
412,CF,15.05B,"CF Industries Holdings, Inc.",80.72
413,TRMB,14.96B,Trimble Inc.,61.19
414,LW,14.76B,"Lamb Weston Holdings, Inc.",102.21
415,HST,14.72B,"Host Hotels & Resorts, Inc.",20.74
416,UAL,14.68B,"United Airlines Holdings, Inc.",45.49
417,VTRS,14.62B,Viatris Inc.,12.36
418,SNA,14.51B,Snap-on Incorporated,275.66
419,CFG,14.36B,"Citizens Financial Group, Inc.",31.39
420,BEN,14.22B,"Franklin Resources, Inc.",27.45
421,LKQ,14.07B,LKQ Corporation,52.29
422,ZBRA,14.02B,Zebra Technologies Corporation,279.48
423,DGX,13.91B,Quest Diagnostics Incorporated,124.89
424,GEN,13.63B,Gen Digital Inc.,21.49
425,BG,13.62B,Bunge Limited,94.37
426,MRO,13.61B,Marathon Oil Corporation,24.25
427,MGM,13.49B,MGM Resorts International,43.28
428,SWK,13.49B,"Stanley Black & Decker, Inc.",89.29
429,INCY,13.47B,Incyte Corporation,58.36
430,CAG,13.45B,"Conagra Brands, Inc.",28.08
431,FOX,13.40B,Fox Corporation,27.38
432,FOXA,13.39B,Fox Corporation,29.79
433,TAP,13.37B,Molson Coors Beverage Company,62.42
434,KIM,13.21B,Kimco Realty Corporation,19.76
435,CRL,13.18B,"Charles River Laboratories International, Inc.",254.19
436,RVTY,13.04B,"Revvity, Inc.",109.59
437,KEY,13.00B,KeyCorp,14.27
438,SJM,12.93B,The J. M. Smucker Company,120.17
439,AMCR,12.82B,Amcor plc,9.06
440,PNR,12.68B,Pentair plc,77.79
441,JKHY,12.63B,"Jack Henry & Associates, Inc.",173.77
442,UDR,12.59B,"UDR, Inc.",35.50
443,CPB,12.56B,Campbell Soup Company,42.64
444,NRG,12.35B,"NRG Energy, Inc.",55.30
445,AOS,12.20B,A. O. Smith Corporation,82.90
446,LNT,12.18B,Alliant Energy Corporation,47.75
447,KMX,12.11B,"CarMax, Inc.",79.00
448,GL,12.08B,Globe Life Inc.,126.93
449,IPG,12.02B,"The Interpublic Group of Companies, Inc.",31.40
450,JNPR,12.02B,"Juniper Networks, Inc.",37.03
451,IP,11.99B,International Paper Company,35.36
452,RL,11.74B,Ralph Lauren Corporation,185.92
453,TECH,11.69B,Bio-Techne Corporation,73.58
454,WRK,11.65B,WestRock Company,45.29
455,NI,11.57B,NiSource Inc.,26.06
456,HII,11.55B,"Huntington Ingalls Industries, Inc.",291.62
457,WYNN,11.53B,"Wynn Resorts, Limited",105.20
458,PODD,11.44B,Insulet Corporation,164.00
459,EVRG,11.44B,"Evergy, Inc.",49.54
460,REG,11.32B,Regency Centers Corporation,61.95
461,ALLE,11.22B,Allegion plc,127.87
462,DVA,11.09B,DaVita Inc.,126.97
463,UHS,11.04B,"Universal Health Services, Inc.",167.03
464,QRVO,10.99B,"Qorvo, Inc.",114.55
465,TPR,10.95B,"Tapestry, Inc.",47.53
466,FFIV,10.92B,"F5, Inc.",187.22
467,BBWI,10.92B,"Bath & Body Works, Inc.",45.70
468,DAY,10.85B,Dayforce Inc,69.78
469,AES,10.70B,The AES Corporation,15.20
470,TFX,10.55B,Teleflex Incorporated,222.79
471,CTLT,10.39B,"Catalent, Inc.",57.34
472,PAYC,10.38B,"Paycom Software, Inc.",182.39
473,EMN,10.15B,Eastman Chemical Company,87.74
474,AAL,10.12B,American Airlines Group Inc.,15.68
475,CPT,10.03B,Camden Property Trust,94.48
476,BXP,10.02B,"Boston Properties, Inc.",64.72
477,MOS,9.94B,The Mosaic Company,31.16
478,HSIC,9.89B,"Henry Schein, Inc.",76.47
479,MTCH,9.62B,"Match Group, Inc.",36.04
480,AIZ,9.47B,"Assurant, Inc.",181.45
481,BIO,9.46B,"Bio-Rad Laboratories, Inc.",326.28
482,PEAK,9.06B,"Healthpeak Properties, Inc.",16.75
483,APA,9.03B,APA Corporation,29.79
484,CZR,8.96B,"Caesars Entertainment, Inc.",43.47
485,CHRW,8.70B,"C.H. Robinson Worldwide, Inc.",74.08
486,ETSY,8.49B,"Etsy, Inc.",71.69
487,RHI,8.43B,Robert Half International Inc.,80.40
488,FRT,8.25B,Federal Realty Investment Trust,100.85
489,MKTX,8.05B,MarketAxess Holdings Inc.,213.41
490,NCLH,7.96B,Norwegian Cruise Line Holdings Ltd.,19.39
491,PARA,7.62B,Paramount Global,11.02
492,PNW,7.59B,Pinnacle West Capital Corporation,68.33
493,MHK,7.40B,"Mohawk Industries, Inc.",118.62
494,BWA,7.07B,BorgWarner Inc.,31.13
495,XRAY,7.05B,DENTSPLY SIRONA Inc.,32.68
496,HAS,7.00B,"Hasbro, Inc.",50.29
497,IVZ,6.87B,Invesco Ltd.,15.41
498,GNRC,6.69B,Generac Holdings Inc.,112.51
499,CMA,6.40B,Comerica Incorporated,49.38
500,FMC,6.40B,FMC Corporation,56.39
501,VFC,6.29B,V.F. Corporation,16.34
502,WHR,5.88B,Whirlpool Corporation,107.39
503,ZION,5.64B,"Zions Bancorporation,NA",39.43
